cid,boiling_point_c,vapor_pressure_mmhg,error
179,147.5,2.69,
240,178.889,1.27,
244,205.5,0.094,
323,299.0,0.001,
326,235.5,,
454,171.0,0.6,
798,130.5,0.0122,
957,195.0,0.0653,
1183,285.5,0.0001,
2345,323.5,0.0002,
2758,176.667,1.9,
2879,201.9,0.1125,
3314,252.5,0.0221,
4133,223.0,0.0343,
6054,220.0,0.0868,
6184,130.5,11.3,
6501,273.5,,
6532,229.0,,
6548,,0.01,
6549,195.5,0.1575,
6616,154.444,2.5,
6631,,,
6660,,,
6736,265.5,0.0055,
6874,277.5,,
6986,,,
7007,,,
7119,274.0,0.0082,
7122,300.5,,
7129,282.0,,
7136,,,
7137,,,
7150,198.5,0.38,
7165,75.5,0.26,
7342,112.5,25.4,
7391,,0.005,
7410,202.5,0.397,
7459,170.5,2.69,
7461,182.0,1.09,
7462,174.0,,
7463,177.0,1.5,
7531,,,
7583,258.5,0.0203,
7632,,,
7646,229.5,,
7650,239.0,,
7654,238.5,,
7655,230.0,,
7695,137.0,,
7704,234.0,,
7708,202.5,,
7710,134.0,,
7714,,,
7725,,0.25,
7731,175.5,1.14,
7738,259.5,0.0038,
7749,99.0,35.8,
7762,120.5,14.0,
7770,142.5,5.95,
7778,235.0,,
7792,,,
7794,206.5,0.28,
7797,188.5,,
7799,207.0,,
7803,123.0,,
7888,241.0,,
7921,207.5,0.5,
7943,,14.7,
7945,132.0,,
7983,166.0,10.34,
8038,116.5,17.8,
8048,243.0,,
8103,156.5,0.9301,
8129,175.5,0.2163,
8130,152.5,3.52,
8137,121.5,,
8163,232.0,0.04,
8164,208.5,0.4,
8174,230.0,0.0085,
8175,208.333,0.103,
8186,112.0,0.06,
8187,99.0,,
8193,259.0,0.0008,
8194,185.0,0.01,
8294,220.0,0.111,
8363,320.0,0.0001,
8365,234.0,,
8369,92.778,0.0003,
8432,91.5,,
8438,264.0,0.01,
8467,289.5,0.0,
8469,267.5,,
8499,244.5,,
8635,239.5,0.0271,
8785,213.5,1.4251,
8797,210.0,0.16,
8821,99.5,38.6,
8842,108.5,0.02,
8857,77.0,93.2,
8868,180.5,0.78,
8878,211.0,,
8908,171.0,1.32,
8914,214.0,0.02,
9017,229.0,,
9024,,,
10353,206.5,,
10795,64.5,171.18,
10947,324.5,,
11463,184.0,0.74,
12180,102.5,32.3,
12756,101.0,,
12810,118.5,,
12813,115.0,0.0051,
12844,,,
14235,,,
14489,151.5,,
14896,165.5,2.93,
15406,201.5,,
16299,268.0,,
16441,239.0,,
16666,216.111,1.0,
16821,,,
17100,219.5,0.0423,
17121,189.5,,
17525,205.0,,
17617,91.0,,
17739,125.5,,
18698,,,
18756,,,
18827,84.5,,
18938,197.5,0.225,
19089,186.0,,
20487,145.0,,
20739,,,
21059,289.5,,
21648,200.0,,
21895,,,
22310,193.5,,
22311,177.778,1.55,
22629,,,
24020,132.5,,
24117,101.0,,
24915,254.0,,
25612,,,
26447,208.5,0.27,
26955,271.0,0.054,
27866,86.0,,
29096,,,
31209,284.0,,
31219,221.0,,
31225,244.5,0.05,
31234,235.5,0.0234,
31244,248.5,0.0329,
31251,119.0,,
31253,166.5,2.09,
31260,132.0,2.37,
31265,167.0,1.56,
31266,185.0,,
31272,126.1,11.5,
31276,142.222,5.6,
31289,191.111,0.37,
32052,,,
36081,,,
42745,,,
60985,249.0,,
60995,220.0,,
61005,126.0,,
61007,152.5,,
61016,,0.76,
61031,,,
61040,101.5,,
61041,70.0,,
61204,153.5,,
61334,243.0,,
61585,304.5,0.0004,
62098,176.0,,
62334,,,
62341,94.5,,
62378,,,
62902,,,
64685,212.0,0.0502,
64805,,,
64813,,,
65575,286.0,,
80865,,,
83268,,,
86579,,,
87453,,,
89440,4.0,0.0005,
90978,,,
91497,128.0,0.0005,
91604,,,
92292,,,
92606,,,
93199,228.0,,
93375,,,
94111,,,
95560,,,
101330,,,
102844,,,
102861,,,
102916,81.0,,
105512,,,
105664,,,
106714,,,
106745,,,
106748,,,
106866,,,
107166,120.5,,
107381,278.5,,
108242,,,
108312,,,
108443,,,
109116,,,
109418,,,
110655,,,
110914,,,
111037,115.0,,
111418,,,
111727,,,
113514,248.5,,
116699,,,
118134,273.5,,
118201,,,
118292,,,
119897,,,
120101,,,
157342,,,
159055,204.5,1.0,
160641,,,
162268,,,
163336,,,
163588,,,
164422,,,
166523,,,
228987,,,
234237,,,
235414,137.0,,
240122,,,
249494,,,
439570,228.5,,
440968,156.0,,
517827,,,
519382,261.5,,
520506,,,
522514,,,
526760,,,
637511,253.0,0.0289,
637520,,0.04,
637531,222.0,,
637566,,0.03,
637758,,0.0033,
637776,,,
638011,228.5,1.0,
643820,104.0,2.0,
853433,266.111,0.02,
929336,,,
1268142,125.0,,
1549018,134.5,,
1549025,,,
1549026,242.5,0.02,
2733294,165.5,,
3017432,,,
3017783,,,
3782139,,,
5281167,156.5,,
5281168,47.0,6.6,
5281515,257.5,,
5282108,258.0,0.019,
5282110,,,
5283345,79.0,,
5283361,73.5,,
5284507,,,
5315892,248.5,,
5318042,159.0,,
5325830,,,
5352438,96.0,,
5352481,,,
5352539,80.0,,
5352543,115.0,,
5355856,,,
5362620,79.0,,
5362720,87.0,,
5362792,115.0,,
5362814,60.0,,
5362833,,,
5363388,75.5,,
5365699,,,
5365916,,,
5365976,,,
5366074,275.0,,
5367706,105.0,,
5372174,76.0,,
5463762,,,
5702654,,,
6021887,,,
6321405,,0.03,
6433547,,,
6437428,,,
6438067,,,
6440618,,,
9855795,,,
10857465,,,
11085796,,,
13918856,,,
15461361,140.0,,
16063567,,,
16070752,,,
16204527,,,
19871663,,,
44153588,,,
57353762,,,
