,CID,CAS,Name,Imax,Ci,Di
0,162268,37609-25-9 ,(5Z)-cyclohexadec-5-en-1-one ,14.5,-2.48,0.27
1,2758,470-82-6 ,"1,8-cineol ",58.98,1.41,0.86
2,8187,112-45-8 ,10-undecenal ,60.03,0.29,0.75
3,18827,3391-86-4 ,1-octen-3-ol ,41.28,0.93,0.62
4,17121,2442-10-6,1-octen-3-yl acetate ,54.08,1.66,0.87
5,21895,29895-73-6 ,"2-(phenylmethyl)-1,3-dioxan-5-ol ",40.75,-1.85,0.55
6,8821,140-88-5 ,"2,6-nonadienal ",48.08,0.42,0.85
7,5362833,28069-72-9 ,"2,6-nonadienol ",47.41,-0.27,0.6
8,61031,110-41-8 ,2-methyl undecanal ,48.3,0.67,0.53
9,18938,3452-97-9 ,"3,5,5-trimethyl-1-hexanol ",41.11,1.76,0.38
10,31234,122-97-4 ,3-phenylpropyl alcohol ,41.32,0.02,0.38
11,10795,534-15-6 ,acetaldehyde dimethyl acetal ,66.44,3.02,0.92
12,179,513-86-0 ,acetoin ,49.69,0.9,0.76
13,7410,98-86-2 ,acetophenone ,67.67,0.97,0.68
14,6440618,80449-58-7 ,acetyl cedrene ,37.09,-0.64,0.61
15,7136,93-28-7 ,acetyl eugenol ,18.31,-0.82,0.43
16,7137,93-29-8 ,acetyl isoeugenol ,29.42,-2.35,0.54
17,6501,77-83-8 ,aldehyde c-16 strawberry ,37.65,0.23,0.48
18,5365976,79-78-7 ,allyl alpha-ionone ,30.67,-0.57,0.26
19,526760,124899-75-8 ,allyl amyl glycolate ,59.5,0.15,0.6
20,17617,2705-87-5 ,allyl cyclohexane propionate ,45.18,0.96,0.49
21,111727,68901-15-5,allyl cyclohexyl glycolate ,36.2,-1.08,0.4
22,8878,142-19-8 ,allyl heptanoate ,40.73,0.69,0.69
23,31266,123-68-2 ,allyl hexanoate ,61.79,1.6,0.8
24,24117,7493-74-5 ,allyl phenoxyacetate ,24.82,-0.02,0.25
25,520506,43052-87-5 ,alpha-damascone ,49.33,0.35,0.54
26,5282108,127-41-3 ,alpha-ionone ,37.15,1.31,0.19
27,440968,7785-26-4 ,alpha-pinene ,47.36,2.08,0.79
28,7462,99-86-5 ,alpha-terpinene ,56.48,1.5,0.77
29,17100,98-55-5 ,alpha-terpineol ,34.59,0.83,0.48
30,164422,139504-68-0 ,amber core ,6.93,0.05,0.37
31,107166,3738-00-9 ,ambrotech ,23.86,-0.67,0.11
32,10857465,6790-58-5 ,ambroxan ,29.65,-0.91,0.47
33,31209,122-40-7 ,amyl cinnamaldehyde ,30.79,-1.86,0.34
34,16299,2050-08-0 ,amyl salicylate ,15.2,-1.2,0.11
35,7738,105-13-5,anis alcohol,24.23,-1.15,0.37
36,31244,123-11-5,anis aldehyde,39.89,0.67,0.4
37,7695,104-21-2 ,anisyl acetate ,19.56,-0.73,0.45
38,61007,104-20-1 ,anisyl acetone ,29.82,-1.19,0.45
39,106866,67845-30-1 ,bark carbaldehyde ,41.75,-0.43,0.61
40,240,100-52-7 ,benzaldehyde ,62.02,1.23,0.69
41,8785,140-11-4 ,benzyl acetate ,35.31,0.74,0.43
42,244,100-51-6 ,benzyl alcohol ,30.28,1.49,0.33
43,2345,120-51-4 ,benzyl benzoate ,13.25,-2.37,0.16
44,7708,104-57-4 ,benzyl formate ,31.57,1.67,0.55
45,7646,103-28-6 ,benzyl isobutyrate ,29.67,1.31,0.37
46,7650,103-37-7,benzyl n-butyrate,39.93,0.53,0.33
47,31219,122-63-4,benzyl propionate ,34.24,0.86,0.28
48,8363,118-58-1,benzyl salicylate,7.2,-2.78,0.6
49,5281515, 87-44-5,beta-caryophyllene,20.21,1.71,0.1
